id_siswa,jenis_kelamin,jam_belajar_per_hari,presentase_kehadiran,nilai_tugas,nilai_UTS,nilai_UAS,nilai_partisipasi,akses_internet,kelas_tambahan,pendidikan_orang_tua,jam_tidur,nilai_keseluruhan,nilai
100067,1,4.03,77.06,93.45,43.53,58.79,60.8,0,1,1,4.18,63.935,1.0
100068,0,9.28,48.44,89.91,70.78,39.91,99.56,1,0,1,4.05,64.4455,1.0
100069,0,1.11,96.71,66.12,55.38,37.55,78.25,0,1,2,4.44,57.7075,1.0
100070,0,5.98,95.99,46.67,72.65,72.39,97.04,1,0,1,8.11,72.136,2.0
100071,0,7.67,53.53,43.52,60.54,87.97,72.38,0,1,3,6.41,67.2195,1.0
100072,1,5.37,76.87,96.79,61.41,93.01,34.21,1,0,1,5.68,78.37200000000001,2.0
100073,0,1.77,41.68,44.19,80.19,50.21,35.87,0,1,3,5.25,54.214000000000006,0.0
100074,1,9.75,95.91,86.57,71.03,52.47,84.02,0,1,1,6.53,71.429,2.0
100075,0,5.66,71.38,55.83,31.0,37.06,48.49,0,1,1,4.42,43.874,0.0
100076,0,6.53,42.59,99.0,29.9,84.21,43.32,1,0,0,7.09,65.33949999999999,1.0
100077,0,3.13,60.55,55.77,47.88,49.3,95.06,1,1,2,5.9,55.940000000000005,1.0
100078,1,5.35,44.61,54.61,57.27,63.67,11.19,1,0,0,8.29,53.104,0.0
100079,0,4.86,63.58,74.62,45.64,95.02,57.25,0,1,3,7.77,71.674,2.0
100080,1,1.67,80.2,97.31,73.86,82.66,79.76,1,0,0,4.09,82.854,2.0
100081,0,1.96,68.19,98.33,39.63,33.69,76.26,1,1,0,4.83,55.81,1.0
100082,1,8.54,63.02,79.5,77.81,30.57,43.08,1,1,1,6.37,56.662,1.0
100083,0,3.16,47.15,82.82,82.99,85.12,58.21,0,0,3,7.29,77.6395,2.0
100084,1,2.75,54.7,69.44,34.32,68.68,10.5,1,0,1,7.58,53.026,0.0
100085,1,5.54,46.01,82.9,73.81,80.42,58.13,1,0,3,8.08,73.59349999999999,2.0
100086,0,7.92,88.45,90.18,97.11,40.98,63.14,0,0,3,4.25,71.8155,2.0
100087,1,1.56,48.11,64.03,39.46,91.04,88.73,0,1,1,4.09,68.219,1.0
100088,0,6.19,75.72,73.39,93.2,84.13,28.97,0,1,2,7.0,77.8925,2.0
100089,0,2.07,60.56,67.61,70.45,92.36,84.26,0,1,2,7.62,77.9425,2.0
100090,0,1.33,53.56,69.37,69.32,53.88,74.63,1,0,3,7.93,62.881,1.0
100091,0,1.47,78.37,92.3,28.89,49.3,69.94,1,0,2,4.78,57.7685,1.0
100092,0,8.51,67.42,54.89,81.12,40.62,45.49,1,0,1,8.84,56.766000000000005,1.0
100093,0,2.06,64.01,44.57,60.87,95.11,43.07,0,0,1,5.15,68.128,1.0
100094,0,1.41,75.57,61.94,79.09,42.38,73.29,0,1,1,5.25,61.8795,1.0
100095,0,4.94,69.48,44.57,85.69,38.35,99.12,1,1,0,4.77,60.619,1.0
100096,0,8.6,58.21,64.89,64.28,43.49,46.48,1,0,0,4.22,54.7385,0.0
100097,0,3.36,73.54,93.25,44.77,84.0,92.67,1,0,1,8.05,75.8635,2.0
100098,0,4.8,80.17,73.22,35.62,92.27,62.79,0,1,3,4.03,70.1395,2.0
100099,1,1.36,41.6,89.88,37.04,86.76,88.13,0,1,0,6.32,70.57499999999999,2.0
100100,1,5.04,67.95,41.63,90.02,69.43,29.55,1,0,3,4.46,64.8815,1.0
100101,0,6.2,43.46,93.06,34.27,99.57,78.6,0,0,1,4.22,74.235,2.0
100102,0,6.14,51.18,72.13,53.85,34.82,85.14,1,0,3,8.67,53.7075,0.0
100103,0,3.99,73.63,32.22,50.07,90.7,84.9,0,1,1,8.13,66.5595,1.0
100104,0,3.84,91.97,74.32,89.91,59.94,80.62,0,0,3,5.97,75.5795,2.0
100105,0,1.96,92.97,96.6,60.83,61.86,37.38,1,1,0,6.29,69.2135,1.0
100106,0,4.3,44.2,35.54,99.73,38.93,56.98,0,1,3,8.34,55.784,1.0
100107,0,1.9,65.15,70.77,80.28,32.34,36.97,1,0,1,7.98,55.75500000000001,1.0
100108,0,7.9,74.98,94.08,88.82,52.16,40.87,0,0,2,7.46,70.86200000000001,2.0
100110,0,9.73,85.93,74.16,43.98,63.83,35.58,0,0,0,7.04,60.3185,1.0
100111,1,8.79,84.65,63.24,35.16,40.31,72.41,1,1,1,5.97,51.252500000000005,0.0
100112,0,6.41,94.2,54.29,59.77,39.65,68.52,0,0,3,6.64,55.95,1.0
100113,0,7.31,40.51,73.93,78.87,91.39,28.38,1,1,1,6.7,73.379,2.0
100114,1,3.57,53.0,33.69,37.68,94.49,72.24,0,1,1,8.32,61.75349999999999,1.0
100115,0,6.68,89.63,82.71,34.76,97.5,36.2,1,1,0,5.09,71.94,2.0
100116,1,5.1,80.23,30.31,71.1,77.64,28.15,1,1,3,5.23,61.849,1.0
100117,0,5.34,93.66,51.49,42.27,83.97,77.25,1,1,1,5.05,67.346,1.0
100118,0,7.82,43.43,65.28,60.95,88.5,42.66,1,1,2,6.9,67.8775,1.0
100119,1,3.54,75.82,56.39,28.83,76.12,61.24,1,0,3,7.48,58.8335,1.0
100120,0,3.86,74.14,51.52,76.05,53.12,28.01,1,0,2,5.19,58.12350000000001,1.0
100121,1,9.32,42.14,88.16,65.6,40.95,65.23,1,0,2,7.38,59.1015,1.0
100122,0,1.51,70.81,95.44,73.56,46.61,28.72,0,1,0,7.14,63.7445,1.0
100123,1,5.37,76.57,91.16,45.66,88.83,25.02,1,0,2,5.61,70.8965,2.0
100124,1,9.22,51.48,66.57,45.9,78.73,44.79,1,1,2,5.15,61.97149999999999,1.0
100125,0,6.49,56.4,91.89,85.1,61.91,81.11,1,1,0,8.41,75.0725,2.0
100126,0,5.92,78.42,94.46,78.89,32.06,25.89,0,0,1,6.85,60.26649999999999,1.0
100127,1,3.25,68.1,58.65,68.48,48.63,20.53,1,0,1,7.52,54.7335,0.0
100128,0,4.09,91.48,49.84,72.11,81.02,12.85,1,0,1,8.63,66.78549999999998,1.0
100129,0,8.67,60.54,36.88,32.05,65.87,47.44,0,0,2,5.03,49.241,0.0
100130,0,6.03,56.0,63.54,89.21,60.49,35.38,1,0,1,5.75,65.32,1.0
100131,1,5.63,99.09,96.24,82.74,51.96,36.29,1,1,3,6.17,71.657,2.0
100132,1,1.9,94.67,69.26,69.29,72.49,98.37,0,1,2,5.16,75.85,2.0
100133,1,1.14,41.74,76.73,93.89,97.65,27.47,1,1,1,8.2,79.91700000000002,2.0
100134,1,9.67,86.24,37.9,37.65,93.08,51.26,1,1,2,4.42,63.3205,1.0
100135,1,4.39,46.62,40.05,76.5,32.13,98.77,1,0,3,5.2,52.9195,0.0
100136,1,6.43,41.65,62.51,97.22,63.67,12.76,1,0,0,4.96,64.5325,1.0
100137,1,1.72,56.42,96.59,48.25,53.06,72.7,0,1,2,8.77,62.8635,1.0
100138,1,7.15,56.16,55.25,26.15,65.74,43.4,1,1,0,7.14,50.5525,0.0
100139,1,9.39,89.16,91.42,80.12,72.43,91.55,0,0,3,7.58,81.7355,2.0
100140,0,6.18,82.64,38.42,25.52,44.0,92.07,1,0,0,4.54,46.935,0.0
100141,1,2.14,98.9,73.19,90.44,84.71,44.85,0,1,3,4.97,81.27149999999999,2.0
100142,0,6.24,82.69,72.04,29.22,63.25,29.93,1,0,0,8.05,55.1125,1.0
100143,0,7.9,65.1,90.19,73.96,99.44,48.52,0,0,3,6.84,82.694,2.0
100144,0,4.66,81.94,30.23,53.29,31.76,96.88,0,0,1,4.23,48.3665,0.0
100145,1,8.92,99.97,43.3,40.25,43.28,35.33,1,1,1,6.83,47.4005,0.0
100146,1,6.84,82.61,45.38,92.37,78.27,98.32,1,0,1,6.38,77.656,2.0
100147,1,9.09,85.7,96.5,80.97,78.66,83.75,0,0,0,4.77,84.01849999999999,2.0
100148,1,6.61,96.3,40.76,50.53,70.75,34.07,1,0,0,6.96,58.584,1.0
100149,0,2.18,46.82,32.59,46.31,98.04,81.2,1,0,3,4.87,65.2115,1.0
100150,1,3.79,82.29,67.41,80.2,59.07,14.48,1,1,3,8.06,63.88349999999999,1.0
100151,1,2.82,91.05,67.0,87.74,59.19,59.33,1,1,2,7.09,71.0895,2.0
100152,1,9.18,97.26,89.08,78.69,93.73,42.16,0,0,2,8.36,84.236,2.0
100153,1,7.84,52.66,96.42,73.0,67.69,48.42,1,0,0,6.12,71.33350000000002,2.0
100154,1,7.09,70.24,67.7,42.09,54.76,52.56,1,1,0,6.56,55.5085,1.0
100155,0,3.71,80.83,95.1,88.96,80.33,55.24,0,1,1,7.8,82.98249999999999,2.0
100156,1,2.66,54.85,80.76,81.22,73.38,69.08,1,0,1,6.73,74.533,2.0
100157,0,7.81,76.03,48.52,63.8,51.45,72.71,0,0,2,6.86,58.535500000000006,1.0
100158,1,5.27,55.45,94.99,63.37,50.86,97.81,1,0,3,6.77,67.96749999999999,1.0
100159,0,3.03,60.01,76.72,67.69,57.69,78.65,1,1,3,6.46,66.324,1.0
100160,1,6.55,66.49,58.99,87.12,35.01,71.9,0,1,3,8.03,59.6705,1.0
100161,1,1.36,71.75,77.62,80.67,95.98,45.32,0,1,0,6.43,80.9915,2.0
100162,0,3.94,66.96,58.09,89.22,42.81,20.6,0,1,1,8.5,57.6625,1.0
100163,0,5.22,69.59,37.99,63.05,43.57,15.29,0,1,3,8.04,47.098,0.0
100164,0,2.33,57.92,80.33,71.85,75.29,52.99,1,1,1,7.46,71.471,2.0
100165,1,9.86,49.54,87.69,89.09,80.7,70.14,1,0,3,8.49,80.02349999999998,2.0
100166,0,2.88,42.84,81.02,42.42,81.58,68.51,1,1,2,6.69,66.497,1.0
100167,1,2.17,51.76,46.04,58.3,56.26,95.76,1,0,1,8.11,58.226000000000006,1.0
100168,1,2.83,74.92,96.96,71.55,91.13,44.42,0,1,2,5.21,81.109,2.0
100169,0,7.92,87.17,31.77,93.64,68.08,66.5,1,0,1,4.36,68.959,1.0
100170,0,4.83,50.15,53.29,26.19,60.7,89.91,1,1,3,7.43,52.456500000000005,0.0
100171,1,6.09,46.51,48.21,40.94,86.73,46.37,1,0,3,5.51,59.5205,1.0
100172,1,1.19,84.96,33.37,42.58,47.05,53.0,1,0,3,7.17,47.5825,0.0
100173,0,1.31,58.31,58.4,49.5,90.21,93.07,0,0,3,4.39,70.7665,2.0
100174,0,5.01,97.09,73.62,46.13,67.72,59.52,0,1,3,8.78,65.6195,1.0
100175,0,8.35,82.86,91.78,69.26,93.0,81.96,0,1,3,6.58,84.703,2.0
100176,1,8.97,59.61,99.28,91.42,44.11,94.21,0,1,3,4.05,73.5315,2.0
100177,1,1.78,57.37,86.57,72.77,95.52,61.4,1,1,0,6.38,80.8155,2.0
100178,1,5.85,71.42,62.81,43.11,78.15,19.83,0,0,1,7.95,59.817,1.0
100179,1,9.22,44.75,80.66,89.78,73.28,83.95,1,1,2,8.33,77.09499999999998,2.0
100180,1,4.49,47.06,89.05,72.4,59.54,83.6,0,1,0,6.31,69.815,1.0
100181,1,8.47,50.55,62.57,41.42,96.94,20.35,1,0,1,4.63,63.888,1.0
100182,0,2.2,86.48,84.95,52.12,61.07,59.33,1,1,2,8.53,65.9755,1.0
100183,1,9.42,70.83,63.79,84.25,64.9,53.84,1,1,1,8.91,69.0025,1.0
100184,1,7.76,40.63,57.05,80.42,84.7,86.24,0,0,2,4.32,73.847,2.0
100185,1,9.47,80.41,66.83,68.24,49.94,34.72,1,1,2,4.39,59.418000000000006,1.0
100186,0,7.09,65.42,77.31,35.86,50.4,48.36,1,0,2,6.83,53.44499999999999,0.0
100187,1,4.27,70.65,80.88,85.25,84.27,64.43,1,0,1,6.67,80.491,2.0
100188,1,9.44,52.85,54.97,48.07,39.0,56.55,1,0,1,6.94,47.6015,0.0
100189,0,3.48,73.11,69.99,82.87,87.61,95.95,0,0,2,5.59,82.285,2.0
100190,1,3.99,98.75,93.69,73.57,73.76,96.46,0,1,2,4.25,82.4675,2.0
100191,1,7.31,44.41,98.34,44.81,67.74,17.34,1,1,3,6.9,60.7545,1.0
100192,1,7.89,57.04,45.91,40.93,46.04,36.81,0,1,2,4.76,44.91349999999999,0.0
100193,1,9.36,54.58,43.5,34.82,85.05,10.68,0,0,3,5.71,53.6985,0.0
100194,1,2.84,54.91,77.37,43.15,86.35,47.61,1,0,3,6.91,66.73599999999999,1.0
100195,0,8.18,62.72,59.03,36.84,63.81,69.59,1,0,3,5.04,56.58050000000001,1.0
100196,0,7.65,89.09,31.7,71.28,57.24,52.42,0,0,2,6.71,58.345000000000006,1.0
100197,0,1.57,94.77,54.28,69.91,47.23,16.05,0,1,2,7.57,55.946,1.0
100198,1,4.49,52.13,86.47,68.96,82.8,27.64,0,0,2,4.33,71.49099999999999,2.0
100199,1,3.54,72.58,85.82,73.14,74.76,25.6,0,1,2,7.1,71.43299999999999,2.0
100200,1,3.74,78.21,64.63,86.11,44.46,56.0,0,1,3,6.55,63.4355,1.0
100201,0,9.85,71.31,63.08,93.52,85.61,70.99,0,0,2,4.49,80.1895,2.0
100202,1,6.78,66.04,70.57,42.28,91.75,38.47,1,1,3,7.53,67.2475,1.0
100203,1,7.46,51.52,45.36,69.08,34.15,21.74,0,1,3,5.55,45.6205,0.0
100204,0,9.79,69.29,66.82,30.88,84.07,81.87,1,1,3,4.91,65.6245,1.0
100205,1,4.39,64.07,30.77,34.01,89.7,87.25,1,0,1,5.41,61.1835,1.0
100206,0,8.22,87.73,63.29,74.08,99.41,34.88,0,1,0,6.73,78.23249999999999,2.0
100207,0,4.91,85.82,53.52,61.49,46.63,47.87,0,0,3,6.9,55.766000000000005,1.0
100208,0,8.83,48.04,77.24,81.87,55.97,17.37,1,1,3,4.85,62.046,1.0
100209,1,2.63,45.31,74.68,56.93,97.63,30.49,0,1,0,8.68,70.91900000000001,2.0
100210,1,9.53,94.49,56.66,34.57,36.58,79.03,0,1,1,5.64,50.12949999999999,0.0
100211,1,2.97,72.13,30.51,90.4,66.66,42.87,1,1,2,5.34,63.533,1.0
100212,1,3.94,91.47,47.66,31.22,65.47,64.42,0,0,1,4.93,55.84049999999999,1.0
100213,1,7.81,43.49,74.33,39.17,72.46,95.16,1,0,2,4.6,63.88449999999999,1.0
100214,1,4.54,71.59,35.07,45.77,53.16,75.13,1,1,0,8.91,51.7345,0.0
100215,1,6.47,72.37,37.53,99.65,94.81,50.81,0,1,1,7.37,77.92,2.0
100216,0,5.0,91.64,75.29,56.26,48.9,43.02,1,1,0,7.94,59.704,1.0
100217,1,7.68,45.86,82.9,62.63,75.48,27.15,1,0,1,6.01,65.9565,1.0
100218,0,3.05,54.43,52.51,82.73,64.71,78.05,1,1,1,6.07,67.081,1.0
100219,1,1.53,64.39,64.28,72.73,48.67,20.12,0,1,0,8.93,56.524,1.0
100220,1,3.7,91.95,96.2,88.11,43.22,15.53,0,0,0,5.0,67.14249999999998,1.0
100221,1,5.27,96.33,96.19,61.48,96.96,19.43,0,1,0,5.63,80.11999999999998,2.0
100222,0,2.51,99.56,51.53,97.91,69.29,31.86,0,0,2,4.98,72.177,2.0
100223,0,4.19,97.55,86.7,84.76,72.29,66.44,1,0,0,5.41,80.2305,2.0
100224,0,4.6,40.36,71.58,55.1,84.8,87.52,1,1,3,7.32,70.559,2.0
100225,0,1.52,42.86,98.28,53.6,35.69,99.34,0,1,3,5.54,59.7675,1.0
100226,1,6.25,48.86,63.43,94.71,79.96,75.83,1,1,0,8.38,76.8185,2.0
100227,0,8.96,60.93,84.23,76.33,41.56,23.14,1,1,0,4.24,58.8815,1.0
100228,1,2.37,89.8,83.77,71.61,81.83,34.99,0,0,1,5.77,75.776,2.0
100229,1,6.38,93.56,64.82,81.84,39.89,21.88,0,1,3,8.3,58.9295,1.0
100230,0,6.98,51.21,85.69,67.06,88.27,20.4,0,0,2,7.11,71.9585,2.0
100231,0,4.77,77.18,48.27,36.94,77.67,61.1,1,1,1,7.85,59.901500000000006,1.0
100232,0,7.31,95.04,38.56,48.94,57.01,91.61,0,0,2,5.62,58.5655,1.0
100233,0,4.7,67.82,59.76,66.85,55.12,71.59,0,1,0,5.85,61.8975,1.0
100234,0,5.54,46.21,96.05,26.36,40.43,82.06,1,0,1,8.44,52.7775,0.0
100235,0,1.07,67.47,65.05,57.8,93.28,55.73,0,1,3,7.75,72.428,2.0
100236,0,7.23,62.55,74.47,81.69,38.3,52.78,0,0,1,5.92,60.25449999999999,1.0
100237,0,6.95,74.66,73.69,37.32,63.05,94.37,1,1,2,5.08,63.03849999999999,1.0
100238,1,1.35,66.32,39.28,29.84,46.56,74.98,0,0,3,4.53,45.742,0.0
100239,0,4.31,41.04,57.32,87.7,99.74,51.34,0,1,2,8.31,77.536,2.0
100240,0,9.81,99.64,79.49,71.3,71.01,39.93,1,1,3,7.49,72.5335,2.0
100241,1,4.79,72.61,98.04,38.24,40.47,18.38,0,1,0,7.04,52.43150000000001,0.0
100242,0,5.52,68.42,41.76,85.47,76.73,83.89,0,1,0,7.88,71.806,2.0
100243,1,9.19,97.28,58.73,74.36,99.41,25.24,1,0,0,8.57,77.38149999999999,2.0
100244,1,7.46,49.35,36.66,50.06,72.35,56.35,1,0,3,7.81,55.7395,1.0
100245,0,6.24,51.35,46.97,53.21,62.02,67.36,0,1,1,6.1,56.2745,1.0
100246,1,8.18,88.48,56.37,36.69,50.53,76.97,1,1,0,4.88,54.677,0.0
100247,1,8.78,55.65,67.85,87.64,36.45,17.5,1,0,3,7.57,55.5525,1.0
100248,1,5.11,87.95,46.14,63.18,45.98,10.96,0,1,3,5.23,51.007000000000005,0.0
100249,1,5.28,56.29,45.93,66.78,68.75,73.54,1,0,0,7.91,62.9265,1.0
100250,0,4.47,41.99,84.45,91.26,82.76,50.9,0,0,3,5.69,77.96,2.0
100251,1,9.7,71.02,97.38,26.19,91.46,26.3,0,1,3,4.78,67.7665,1.0
100252,0,7.27,51.8,52.65,30.02,85.56,98.38,1,1,0,5.27,62.999,1.0
100253,1,1.75,85.47,78.16,37.12,38.78,81.22,1,0,1,5.33,55.154,1.0
100254,1,8.77,78.47,48.07,27.25,84.14,62.07,1,0,2,5.89,59.9295,1.0
100255,1,5.33,95.42,94.96,74.36,70.71,73.19,0,0,1,5.29,79.1915,2.0
100256,1,1.62,86.98,77.1,72.54,62.84,23.95,1,0,3,5.13,66.642,1.0
100257,0,5.95,50.85,86.19,40.81,70.09,96.6,0,0,3,5.96,66.71700000000001,1.0
100258,0,4.75,88.01,33.45,36.21,30.57,99.67,1,1,3,8.34,45.21,0.0
100259,1,8.9,78.5,71.9,35.93,34.74,68.36,0,0,0,4.35,50.2075,0.0
100260,1,2.84,80.14,66.93,96.49,66.81,70.15,0,1,2,5.48,75.92099999999999,2.0
100261,0,8.44,89.94,50.51,77.01,42.15,73.4,1,0,3,6.81,60.441,1.0
100262,1,6.02,74.43,48.37,68.91,68.19,69.92,0,0,3,8.37,65.203,1.0
100263,1,1.49,67.96,70.6,49.19,54.79,49.47,0,1,1,5.42,57.337,1.0
100264,1,9.75,78.2,79.45,57.48,93.52,58.66,0,1,3,5.74,76.678,2.0
100265,0,5.61,57.88,32.32,31.71,96.48,35.45,1,0,3,7.99,57.49250000000001,1.0
100266,0,3.62,50.96,69.72,99.86,98.58,50.22,1,0,0,5.86,83.53000000000002,2.0
100267,0,5.22,77.0,41.93,81.63,92.93,49.25,1,0,1,8.26,73.944,2.0
100268,1,8.72,54.03,39.83,71.61,99.01,35.93,1,1,1,6.28,69.51800000000001,1.0
100269,1,3.74,44.79,73.62,69.08,79.43,80.8,1,1,3,6.85,72.3535,2.0
100270,0,2.73,40.03,51.76,62.82,97.24,46.87,1,0,0,6.8,68.781,1.0
100271,0,2.16,76.5,60.86,44.31,74.93,59.65,1,0,0,4.6,63.09,1.0
100272,0,3.68,61.73,55.2,41.98,86.64,24.05,0,0,2,5.77,60.437,1.0
100273,0,8.02,85.14,75.38,66.21,39.23,52.75,0,1,2,5.21,59.148,1.0
100274,1,5.24,62.51,62.91,30.27,77.78,78.53,1,1,3,7.42,61.4765,1.0
100275,0,3.05,69.16,97.44,30.59,95.18,50.01,0,0,2,8.67,72.3655,2.0
100276,1,2.5,64.43,54.67,67.06,67.8,60.2,1,0,0,5.06,63.89200000000001,1.0
100277,0,3.99,79.03,81.82,93.99,43.08,73.15,0,0,1,4.46,70.1575,2.0
100278,1,9.46,61.37,48.01,93.57,66.88,45.01,1,1,2,6.53,67.04050000000001,1.0
100279,0,4.09,97.83,65.61,25.81,79.49,41.8,0,1,3,5.95,61.359,1.0
100280,0,9.89,96.17,68.68,33.05,83.89,17.72,0,0,0,4.18,62.749,1.0
100281,0,5.37,90.88,53.04,68.73,66.66,62.4,0,1,2,8.61,66.4495,1.0
100282,0,2.61,95.22,63.02,88.64,45.22,73.63,1,0,0,8.7,67.476,1.0
100283,1,9.02,66.95,49.55,96.58,94.87,62.31,1,1,1,8.25,80.18549999999999,2.0
100284,0,5.14,72.19,30.42,89.54,84.15,35.52,0,1,0,5.4,68.6925,1.0
